Class,Inherited_class,Structure_name,Crater_field,Region,Country,Continent/Ocean,Lat,Lon,Diameter_final_rim_km,Diameter_present-day_km,Diameter_outer_limit_of_deformation_km,Diameter_km,DiameterSQL_km,Age_Ma,Younger_age_limit_Ma,Best_age_Ma,Older_age_limit_Ma,Age_uncert_Ma,Age_uncert_type,Overburden_m,Present_water_depth_m,Drilled,Target,Target_water_depth_m,Impactor,,,,,,,,,,,
0,-,Bloody Creek,-,Nova Scotia,Canada,North America,44.7500,-65.2431,-,0.35x0.42,-,0.35x0.42,0.4,"372-0.012, Plio-pleistocene?",0.012,-,372,-,stratigraphic,0,<10,N,"G?, I",0,-,,,,,,,,,,,
0,-,Boltysh,-,-,Ukraine,Europe,48.950,32.285,-,24,-,24,24,65.17 ± 0.64,64.53,65.17,65.81,0.64,95% conf.,30,0,Y,IM,0,-,,,,,,,,,,,
0,x,Bosumtwi (= Ashanti),-,Ashanti,Ghana,Africa,6.50,-1.42,-,-,-,10.5,10.5,1.07,0.963,1.07,1.177,-,10%,0,-,N,-,-,Iron / non chondrite carbonaceous?,,,,,,,,,,,
0,-,Boxhole,-,Northern Territory,Australia,Australia,-22.61265,135.19544,-,-,-,0.17-0.19,0.18,~0.03,0.027,0.03,0.033,-,10%,0,0,N,"M, Ss",0,iron IIIA,,,,,,,,,,,
0,x,Brent,-,Ontario,Canada,North America,46.08,-78.48,-,-,-,3.8,3.8,396 ± 20,376,396,416,20,-,buried,-,Y,-,-,chondrite ordinary L or LL,,,,,,,,,,,
0,x,Campo Del Cielo,Campo Del Cielo,-,Argentina,South America,-27.63,-61.70,-,-,-,0.05,0.05,< 0.004,-,-,0.004,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Carancas,-,Desaguadero,Peru,South America,-16.66450,-69.04411,0.013-0.014,-,-,0.013-0.014,13.5,"15 September 2007, ~16:45 UTC ",-,0.000001,-,-,observed,0,0,-,Ss,0,chondrite ordinary H5(4),,,,,,,,,,,
0,x,Carswell,-,Saskatchewan,Canada,North America,58.45,-109.50,-,-,-,39,39,115 ± 10,105,115,125,10,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Charlevoix (=La Malbaie),-,Quebec,Canada,North America,47.53,-70.30,-,-,-,54,54,342 ± 15,327,342,357,15,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Chesapeake Bay,-,Virginia,USA,North America,37.25,-76.02,85-90,85-90,160,85-90,87,35.5 ± 0.3,35.2,35.5,35.8,0.3,-,300-500,-,Y,"M, Ss",300,-,,,,,,,,,,,
0,-,Chicxulub,-,Yucatan,Mexico,North America,21.3,-89.5,150.0,-,250.0,150,150,65.95 ± 0.055,65.895,65.95,66.005,0.055,"Ar/Ar, astronomical",1000,0-100,Y,"I, M,Ssce",<200,chondrite C,,,,,,,,,,,
0,x,Chiyli,-,-,Kazakhstan,Asia,49.17,57.85,-,-,-,5.5,5.5,46 ± 7,39,46,53,7,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Chukcha,-,-,Russia,Asia,75.70,97.80,-,-,-,6,6,< 70,-,-,70,-,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Clearwater East,-,Quebec,Canada,North America,56.08,-74.12,-,-,-,26,26,290 ± 20,270,290,310,20,-,0,-,Y,-,-,chonndrite LL,,,,,,,,,,,
0,x,Clearwater West,-,Quebec,Canada,North America,56.22,-74.50,-,-,-,36,36,290 ± 20,270,290,310,20,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Cloud Creek,-,Wyoming,USA,North America,43.1767,-106.7083,-,7,-,7,7,190 ±20,170,190,210,20,stratigraphic,1200,0,Y,"Ssce, I",0,-,,,,,,,,,,,
0,x,Connolly Basin,-,Western Australia,Australia,Australia,-23.533,124.760,-,-,-,9,9,Palaeogene?,-,-,65,-,-,0,0,N,-,-,-,,,,,,,,,,,
0,x,Couture (= Lac Couture),-,Quebec,Canada,North America,60.13,-75.33,-,-,-,8,8,430 ± 25,405,430,455,25,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Crooked Creek,-,Missouri,USA,North America,37.83,-91.38,-,-,-,7,7,320 ± 80,240,320,400,80,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Dalgaranga,-,Western Australia,Australia,Australia,-27.66667,117.29167,0.024,-,-,0.024,0.024,<0.003,-,-,0.003,-,geomorphologic,0,0,N,"I,Ss",0,Stony-iron mesosiderite,,,,,,,,,,,
