Class,Inherited_class,Structure_name,Crater_field,Region,Country,Continent/Ocean,Lat,Lon,Diameter_final_rim_km,Diameter_present-day_km,Diameter_outer_limit_of_deformation_km,Diameter_km,DiameterSQL_km,Age_Ma,Younger_age_limit_Ma,Best_age_Ma,Older_age_limit_Ma,Age_uncert_Ma,Age_uncert_type,Overburden_m,Present_water_depth_m,Drilled,Target,Target_water_depth_m,Impactor,,,,,,,,,,,
0,x,Spider,-,Western Australia,Australia,Australia,-16.73,126.08,-,-,-,13x11,12,pre-Cambrian,541,-,-,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Steen River,-,Alberta,Canada,North America,59.50,-117.63,-,-,-,25,25,91± 7,84,91,98,7,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Steinheim,-,-,Germany,Europe,48.68,10.07,-,-,-,3.8,3.8,15 ± 1,14,15,16,1,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Sterlitamak,-,-,Russia,Asia,53.67,55.68,-,-,-,0.0094,0.0094,17-May-90,-,0.000015,-,-,na,0,0,-,Ss,0,Iron IIIab,,,,,,,,,,,
0,-,Strangways,-,Northern Territory,Australia,Australia,-15.195,133.585,-,-,-,24-26,25,646 ± 42,604,646,688,42,?,0,-,N,"Ss, M",?,Achondrite olivine-rich,,,,,,,,,,,
0,-,Sudbury,-,Ontario,Canada,North America,46.60,-81.18,130-180,-,260,130-180,155,1847-1852,1847,-,1852,-,radiometric,0,0,Y,M,-,meteorite,,,,,,,,,,,
0,x,Suvasvesi N,-,-,Finland,Europe,62.68,28.18,-,-,-,4,4,560-530 or 260-230,230,-,560,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Tabun-Khara-Obo,-,-,Mongolia,Asia,44.10,109.60,-,-,-,1.3,1.3,150 ± 20,130,150,170,20,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Talemzane (= Maadna),-,-,Algeria,Africa,33.32,4.03,-,-,-,1.75,1.75,< 3,-,-,3,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Tenoumer,-,-,Mauritania,Africa,22.918,-10.408,-,-,-,1.9,1.9,0.0214 ± 0.0097,0.0117,0.0214,0.0311,0.0097,-,0,-,N,-,-,chondrite LL6,,,,,,,,,,,
0,x,Ternovka,-,-,Ukraine,Europe,48.13,33.52,-,-,-,11,11,280 ± 10,270,280,290,10,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Tin Bider,-,-,Algeria,Africa,27.60,5.12,-,-,-,6,6,< 70,-,-,70,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Tookoonooka,-,Queensland,Australia,Australia,-27.10,142.80,-,-,-,55-100,77.5,133 ± 5,128,133,138,5,biostratigraphic,882,0,Y,"W, Ss, M",10-200,-,,,,,,,,,,,
0,x,Tswaing (formerly Pretoria Saltpan),-,-,South Africa,Africa,-25.40,28.08,-,-,-,1.13,1.13,0.220 ± 0.052,0.168,0.22,0.272,0.052,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,Tvären,-,-,Sweden,Europe,58.77,17.42,-,-,-,4,4,~ 457,411.3,457,502.7,-,10%,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Upheaval Dome,-,Utah,USA,North America,38.4373,-109.9284,-,-,-,10.4,10.4,post late Toarcian,-,-,183,-,stratigraphic,0,0,Y,Ss,-,-,,,,,,,,,,,
0,x,Vargeão,-,-,Brazil,South America,-26.83,-52.12,-,-,-,12,12,< 70,-,-,70,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Veevers,-,Western Australia,Australia,Australia,-22.96995,125.37253,0.07,0.07,-,0.07,0.07,< 4 ka,-,-,0.004,-,geomorphologic,0,0,N,Ss,0,Iron IIAB,,,,,,,,,,,
0,x,Vepriai,-,-,Lithuania,Europe,55.08,24.58,-,-,-,8,8,?,-,-,-,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Vista Alegre ,-,-,Brazil,South America,-25.95,-52.68,-,-,-,9.5,9.5,< 65,-,-,65,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,-,Vredefort,-,-,South Africa,Africa,-27.00,27.50,120-200 ,-,180-300,120-200 ,300,2023 ± 4,2019,2023,2027,4,2σ radiometric,0,0,Y,"M, I, Ssc",-,-,,,,,,,,,,,
0,-,Wabar,Wabar,-,Saudi Arabia,Asia,21.503,50.473,-,-,-,0.116,0.116,0.000290 ± 0.000076,0.000214,0.00029,0.000366,0.000076,2σ,0,0,N,Ss,0,Iron IIIa,,,,,,,,,,,
0,x,Wanapitei,-,Ontario,Canada,North America,46.75,-80.75,-,-,-,<5,5,37.2 ± 1.2,36,37.2,38.4,1.2,-,buried,-,N,-,-,chondrite L (possibly LL),,,,,,,,,,,
0,x,Wells Creek,-,Tennessee,USA,North America,36.38,-87.67,-,-,-,12,12,200 ± 100,100,200,300,100,-,0,-,Y,-,-,-,,,,,,,,,,,
0,x,West Hawk,-,Manitoba,Canada,North America,49.77,-95.18,-,-,-,2.44,2.44,351± 20,331,351,371,20,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Wetumpka,-,Alabama,USA,North America,32.52,-86.17,-,-,-,6.5,6.5,81.0 ± 1.5,79.5,81,82.5,1.5,-,0,-,Y,-,-,-,,,,,,,,,,,
0,-,Whitecourt,-,Alberta,Canada,North America,54.00,-115.60,-,-,-,0.036,0.036,~0.0011,0.00005,0.0011,0.001155,-,"stratigraphic, 14C",0,0,-,Ss,0,Iron IIIAB,,,,,,,,,,,
0,-,Wolfe Creek,-,Western Australia,Australia,Australia,-19.1717,127.7953,0.825x0.932,0.825x0.933,-,0.825x0.933,0.88,0.3,0.27,0.3,0.33,-,10%,0,0,N,Ss,0,iron IIIB,,,,,,,,,,,
0,x,Woodleigh,-,Western Australia,Australia,Australia,-26.0569,114.6639,-,-,-,40,40,364 ± 9,355,364,373,9,2σ,buried,-,Y,-,-,-,,,,,,,,,,,
0,x,Yarrabubba,-,Western Australia,Australia,Australia,-27.17,118.83,-,-,-,30-70,50,2600-542,542,-,2600,-,-,0,-,N,-,-,-,,,,,,,,,,,
0,x,Zapadnaya,-,-,Ukraine,Europe,49.73,29.00,-,-,-,3.2,3.2,165 ± 5,160,165,170,5,-,buried,-,Y,-,-,-,,,,,,,,,,,
0,-,Zeleny Gai,-,-,Ukraine,Europe,48.888,32.803,-,3.5,-,3.5,3.5,80 ± 20,60,80,100,20,Stratigraphic,50,0,Y,"I, M",0,-,,,,,,,,,,,
0,x,Zhamanshin,-,-,Kazakhstan,Asia,48.40,60.97,-,-,-,14,14,0.9 ± 0.1,0.8,0.9,1,0.1,-,0,-,Y,-,-,-,,,,,,,,,,,
1,-,Gusev,-,-,Russia,Europe,48.472,40.549,-,2x3,-,2x3,3,~49.15,44.2,49.15,54.1,-,10%,buried,0,Y,Sc,<500,-,,,,,,,,,,,
1,-,Liverpool,-,Northern Territory,Australia,Australia,-12.39590,134.04740,2.0,1.6,-,2,2,Neoproterozoic?,542,-,1000,-,stratigraphic,0,0,N,Ss,-,-,,,,,,,,,,,
1,-,Matt Wilson,-,Northern Territory,Australia,Australia,-15.50,131.18,5-10,5.50,-,5.5,5.5,"post-1500, likely pre-Cambrian, possibly ~1490",542,1490,1500,-,stratigraphic,0,0,n,"Ss, I",-,-,,,,,,,,,,,
1,-,Põrguhaud,Ilumetsä,-,Estonia,Europe,57.96003,27.40297,-,-,-,0.08,0.08,0.0059-0.0067,0.0059,-,0.0067,0.0001,"stratigraphic, C14",0,0,Y,Ss,0,-,,,,,,,,,,,
1,-,Praia Grande,-,offshore,Brazil,South America,-25.64722,-45.62500,-,-,-,20,20,Santonian,83.5,-,85.9,-,stratigraphic,4000,200,N,Ssce,-,-,,,,,,,,,,,
1,-,Silverpit,-,-,North Sea,Europe,54.23,1.85,-,-,-,5-8,6.5,45-74,45,-,74,-,stratigraphic,300,40,Y,"W, Scs",50-300,-,,,,,,,,,,,
1,-,Sirente,Sirente,Abruzzo,Italy,Europe,42.1771,13.5959,-,-,-,0.15x0.14,0.14,1689-1418 y B.P.,0.001418,-,0.001689,-,C-14 and thermoluminiscence,0,0,Y,Sc,0,iron,,,,,,,,,,,
1,-,Sügavhaud,Ilumetsä,-,Estonia,Europe,57.95381,27.39992,-,-,-,0.05,0.05,0.0059-0.0067,0.0059,-,0.0067,0.0001,"stratigraphic, C14",0,0,Y,Ss,0,-,,,,,,,,,,,
1,-,Tunguska,-,-,Russia,Asia,60.89,101.89,-,-,-,airblast,-1,30/Jun/1908,0.0001,0.0001,0.0001,-,-,0,0,Y,-,0,comet or stone,,,,,,,,,,,
2,-,Alz,Chiemgau?,Bavaria,Germany,Europe,48.23,12.78,-,-,-,0.011,0.011,"<0,015",0.0001,0.002,0.015,-,stratigraphic,0,-,-,-,-,-,,,,,,,,,,,
2,-,Ambar Lake,-,-,India,Asia,19.98,76.52,-,-,-,0.25-0.29,0.27,0.052 ± 0.007,0.045,0.052,0.059,0.007,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Arkhys,-,-,Georgia,Europe,43.60,46.32,-,-,-,2,2,Quaternary,0,-,1.8,-,stratigraphic,0,0,-,"Ss, M, I",0,-,,,,,,,,,,,
2,-,Åvikebukten,-,-,Sweden,Europe,62.47,17.75,-,-,-,9.5,9.5,<542,-,-,542,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,x,AZUARA,-,-,Spain,Europe,41.118,-0.886,-,-,-,30,30,32.0 ±7.0,25,32,39,7,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Bedout,-,northwestern continental margin,Australia,Australia,-18.18,119.25,-,-,-,~180,180,250.1 ±4.5,245.6,250.1,254.6,4.5,-,buried,-,-,-,-,-,,,,,,,,,,,
2,-,Bee Bluff (=Lyles Ranch = Uvalde),-,Texas,USA,North America,29.0275,-99.8458,-,-,-,6.75,6.75,Oligocene to Pliocene,1.8,-,40,-,stratigraphic,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Björkö,-,-,Sweden,Europe,59.30,17.60,-,-,-,8,8,1210.0 ±18,1192,1210,1228,18,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,BORLY,-,-,Kazakhstan,Asia,47.08,74.75,-,-,-,0.2,0.2,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Brushy Creek,-,Louisiana,USA,North America,30.768,-90.735,-,-,-,1.9,1.9,late Pleistocene,0.115,-,0.126,-,stratigraphic,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Burckle,-,-,Indian ocean,-,-30.865,61.365,-,-,-,29,29,?,-,-,-,-,-,buried,-,-,-,-,-,,,,,,,,,,,
2,-,Calvin,-,Michigan,USA,North America,41.8257,-85.9457,-,-,-,6-8,7,444-460,444,-,460,-,stratigraphic,250,0,Y,Scs,-,-,,,,,,,,,,,
2,-,Chimney Prospect,-,Montana,USA,North America,47.00,-107.60,-,-,-,3.9,3.9,Jurassic,145,-,200,-,stratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,x,CHINGA,-,-,Russia,Asia,51.00,94.00,-,-,-,-,-1,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,CHINLE,-,-,USA,North America,39.15,-109.57,-,-,-,0.034,0.034,150-250 yr,0.00015,-,0.00025,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Colônia,-,-,Brazil,South America,-23.87,-46.70,-,-,-,3.6,3.6,~36,32.4,36,39.6,-,10%,0,-,N,-,-,-,,,,,,,,,,,
2,x,CONCEPTION BAY (= Holyrood Bay = Avalon Peninsula),-,-,Canada,North America,47.53,-52.05,-,-,-,25.0?,25,not known,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Crawford,-,-,Australia,Australia,-34.72,139.03,-,8.5x3.5,-,8.5x3.5,8.5,501-28.4,28.4,-,501,-,stratigraphic,0,0,N,"M, I",-,-,,,,,,,,,,,
2,-,Curuçá,-,-,Brazil,South America,-5.18,-71.63,-,-,-,1,1,13-Aug-30,-,0.000075,-,-,-,0,-,N,-,-,-,,,,,,,,,,,
2,-,Dakhleh,Dakhleh Oasis,Western desert,Egypt,Africa,25.4855,29.4536,-,-,-,0.4,0.4,0.1-0.2,0.1,-,0.2,-,"radiometric, stratigraphic, archeological",0,0,N,"Ssce,",-,-,,,,,,,,,,,
2,-,Darwin,-,-,Australia,Australia,-42.32,145.67,-,-,-,1.5,1.5,0.816 ± 0.007,0.809,0.816,0.823,0.007,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Duobblon,-,-,Sweden,Europe,65.58,17.17,-,-,-,80,10,~1800,1620,1800,1980,-,10%,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Duolun,-,-,China,Asia,42.05,116.25,-,-,-,70-190,190,129 ± 2,99,129,161,2,stratigraphic,0,-,Y,"Ssc, I",-,-,,,,,,,,,,,
2,-,Faya,-,Borkou-Ennedi-Tibesti,Chad,Africa,18.183,19.564,-,-,-,1.5,1.5,post Mid Devonian,-,-,385,-,stratigraphic,0,0,N,Ss,-,-,,,,,,,,,,,
2,-,Frombork,-,-,Poland,Europe,54.3433,19.6929,-,-,-,0.20x0.25,0.225,Holocene,-,-,0.01,-,stratigraphic,0,-,-,-,-,-,,,,,,,,,,,
2,-,Gagarin,-,-,Russia,Asia,55.6986,33.6669,-,-,-,1.4,1.4,?,-,-,-,-,-,0,-,Y,-,-,-,,,,,,,,,,,
2,x,GALLEJAUR,-,-,Sweden,Europe,65.10,19.30,-,-,-,60,60,1873.0 ±10,1863,1873,1883,10,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Gatun,-,-,Panama,South America,9.09947,-79.78939,-,-,-,2.72 to 3,2.85,post-Oligocene ,-,-,23,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Gnargoo,-,Western Australia,Australia,Australia,-23.62,114.03,-,-,-,75,75,early Permian to early Cretaceous,99,-,299,-,stratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,x,GUARDA,-,-,Portugal,Europe,40.62,-7.10,-,-,-,35,35,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Hartney,-,Manitoba,Canada,North America,49.40,-100.67,-,-,-,8,8,lower Cretaceous,99,-,146,-,-,buried,-,Y,-,-,-,,,,,,,,,,,
2,-,Hico,-,Texas,USA,North America,32.008,-98.03,-,-,-,9,9,<60.0,-,-,60,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Highbury,-,-,Zimbabwe,Africa,-17.0647,30.1153,-,-,-,20,20,1034.0 ±17.0,1017,1034,1051,17,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Hotchkiss,-,-,Canada,North America,57.5389,-118.8778,-,-,-,4,4,120-330,120,-,330,-,-,buried,-,N,-,-,-,,,,,,,,,,,
2,-,Howell,-,-,USA,North America,35.232,-86.610,-,-,-,1.6,1.6,355-389,355,-,389,-,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Hummeln,-,-,Sweden,Europe,57.37,16.25,-,-,-,1.8,1.8,460-480,460,-,480,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,IMILAC,-,-,Chile,South America,-24.20,-68.80,-,-,-,0.008,0.008,young,-,-,20,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Ishim,-,Aqmola,Kazakhstan,Asia,51.700,69.800,-,-,-,300-400,350,late Ordovician to early Silurian,430,-,460,-,stratigraphic,0,0,-,"M, I, S",-,-,,,,,,,,,,,
2,-,Itturalde,-,-,Bolivia,South America,-12.50,-67.50,-,-,-,9,9,0.011-0.032,0.011,-,0.032,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Jackpine Creek,-,British Columbia,Canada,North America,55.60,-120.1,-,-,-,22-24,23,Lower Cretaceous,100,-,142,-,stratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,-,James River,-,Alberta,Canada,North America,51.913,-114.920,-,-,-,6,6,Late Cambrian to Middle Devonian,385,-,501,-,-,buried,-,N,-,-,-,,,,,,,,,,,
2,-,Jeptha Knob,-,-,USA,North America,38.18,-85.12,-,-,-,2.2,2.2,Ordovician-Silurian,428,-,461,-,stratigraphic,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Jiesjaure,-,-,Norway,Europe,69.9,24.9,-,-,-,6,6,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Johnsonville,-,South Carolina,USA,North America,33.82,-79.36,-,-,-,11,11,200-88,88,-,200,-,stratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,-,Kakiattukallak,-,Quebec,Canada,North America,57.70,-71.67,-,-,-,6,6,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Kanmare,-,Gulf of Carpentaria,Australia,Australia,-16.58,139.057,-,-,-,18,18,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Kilmichael,-,-,USA,North America,33.50,-89.55,-,-,-,9,9,40-45,40,-,45,-,-,0,-,Y,-,-,-,,,,,,,,,,,
2,x,KONUS,-,-,Kazakhstan,Asia,48.55,76.60,-,-,-,0.25,0.25,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Kurai Basin,-,Altai,Russia,Asia,50.20,87.90,-,-,-,21-22,21.5,Jurassic to Eocene,34,-,200,-,stratigraphic,0,0,-,"Ssc, I, M",0,-,,,,,,,,,,,
2,-,La Dulce,-,-,Argentina,South America,-38.21,-59.21,-,-,-,2.8,2.8,0.445,-,0.445,-,-,radiometric,0,0,-,Ss,0,-,,,,,,,,,,,
2,x,LA PALOMA,-,-,Uruguay,South America,-34.67,-54.17,-,-,-,-,-1,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,LAGO DI TREMORGIO,-,-,Switzerland,Europe,46.47,8.72,-,-,-,1.36,1.36,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Landsortsjupet,-,-,Sweden,North America,58.60,18.50,-,-,-,30,30,1200,1080,1200,1320,-,10%,-,-,-,-,-,-,,,,,,,,,,,
2,x,LDG IMPACT+B493,-,-,Libya,Africa,-,-,-,-,-,-,-1,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Ledfat,-,-,Sweden,Africa,65.5,18.3,-,-,-,7,7,Prot.,542,-,2500,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Liberty,-,Ohio,USA,North America,41.2065,-83.2785,-,-,-,0.8x1,0.9,Quaternary,-,-,1.8,-,stratigraphic,buried,-,Y,Sc,-,-,,,,,,,,,,,
2,-,Lukanga,-,-,Zambia,Africa,-14.40,27.75,-,-,-,52,52,<450,-,-,450,-,stratigraphic,0,-,Y,"Sc, M",-,-,,,,,,,,,,,
2,-,Lycksele,-,-,Sweden,Europe,64.92,18.78,-,-,-,130,130,1800-1260,1260,-,1800,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Magyarmecske,-,-,Hungary,Europe,45.95,17.97,-,-,-,6x8,7,post Carboniferous to pre Neogene,23,-,299,-,stratigraphic,1100,0,N,"Ss, M",-,-,,,,,,,,,,,
2,-,Meen Lake,-,Keewatin District,Canada,North America,64.97,-87.67,-,-,-,-,-1,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Merna,-,Nebraska,USA,North America,41.4639,-99.975,-,-,-,1.5,1.5,0.00286 ±0.00005,0.00281,0.00286,0.00291,0.00005,C14,0,0,n,Ss,0,-,,,,,,,,,,,
2,-,Mistassini,-,Quebec,Canada,North America,50.75,-73.75,-,-,-,2,2,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Mulkarra,-,-,Australia,Australia,-27.87,138.92,-,-,-,17,17,middle Albian,102,105,108,3,biostratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,-,Panther Mountain,-,New York,USA,North America,42.07,-74.40,-,-,-,10,10,Lower to Middle Devonian,385,-,416,-,stratigraphic,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Pechenga,-,Kola peninsula,Russia,Asia,69.33,30.54,-,-,-,80,80,1970-1940,1940,-,1970,-,stratigraphic,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Peerless ,-,Montana,USA,North America,48.8,-105.8,-,-,-,6,6,430-450,430,-,450,-,stratigraphic,buried,-,Y,-,-,-,,,,,,,,,,,
2,-,Piratininga,-,-,Brazil,South America,-22.47,-49.15,-,-,-,12,12,~117,105.3,117,128.7,0.1,-,0,-,N,-,-,-,,,,,,,,,,,
2,x,QUILLAGUA,-,-,Chile,South America,-21.5,-69.33,-,-,-,-,-1,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Ramgarh,-,-,India,Asia,25.333,76.625,-,-,-,2.25x2.5,2.4,not known,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Ritland,-,-,Norway,Europe,59.2335930,6.4252257,-,-,-,2,2,pre- middle Cambrian,501,-,-,-,stratigraphic,0,0,N,"M, Ss",-,-,,,,,,,,,,,
2,x,RUBIELOS DE LA CÉRIDA,-,-,Spain,Europe,40.78,-0.80,-,-,-,40,40,32 ±7.0,25,32,39,7,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Salar del Hombre Muerto,Salar del Hombre Muerto,Salta,Argentina,South America,-27.21,-69.92,-,-,-,0.25,0.25,<0.5,-,-,0.5,-,-,0,-,N,-,-,-,,,,,,,,,,,
2,-,Shiyli,-,-,Kazakhstan,Asia,49.17,57.85,-,-,-,5.5,5.5,46.00,41.4,46,50.6,-,10%,-,-,-,-,-,-,,,,,,,,,,,
2,x,SIMUNA,-,-,Estonia,Europe,58.90,25.60,-,-,-,0.0089,0.0089,1 June 1937 ?,-,0.000068,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Sinamwenda,-,-,Zimbabwe,Africa,-17.1950,27.7917,-,-,-,0.22,0.22,<220.0,-,-,220,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Sithylemenkat,-,Alaska,USA,North America,66.12,-151.38,-,-,-,12.4,12.4,<0.01,-,-,0.01,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Skedviken,-,-,Sweden,Europe,59.8,18.3,-,-,-,4.5,4.5,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Skeleton Lake,-,-,Canada,North America,45.25,-79.43,-,-,-,3.5,3.5,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Smöla,-,-,Norway,Europe,63.4,8.0,-,-,-,30,30,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Snelling,-,-,Australia,Australia,-19.35,127.77,-,-,-,0.029x0.022,0.0255,<0.005,-,-,0.005,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Sortland,-,-,Norway,Europe,68.8,15.0,-,-,-,-,-1,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Spring Range,-,Northern Territory,Australia,Australia,-21.8631,134.3072,-,-,-,0.5-1.0,0.75,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Suvasvesi S,-,-,Finland,Europe,62.68,28.30,-,-,-,3.8,3.8,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Tabban ,-,Gulf of Carpentaria,Australia,Australia,-17.125,139.86,-,-,-,12,12,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,TAI HU,-,-,China,Asia,31.25,120.08,-,-,-,>70,70,365,328.5,365,401.5,-,10%,-,-,-,-,-,-,,,,,,,,,,,
2,-,Talundilly,-,-,Australia,Australia,-24.73,144.62,-,-,-,30,30,128±5,123,128,133,5,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,TAZARAL,-,-,Kazakhstan,Asia,46.48,73.70,-,-,-,6.5x2.0,4.25,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Temimichât-Ghallaman,-,-,Mauritania,Africa,24.2485,-9.6510,-,-,-,0.64x0.73,0.7,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,x,TOKRAUSKAYA,-,-,Kazakhstan,Asia,47.73,75.48,-,-,-,220,220,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Toms Canyon,-,"New Jersey, offshore ",USA,North America,39.13,-73.21,-,-,-,22,22,35.4 ±0.4,35,35.4,35.8,0.4,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,TOR,-,-,Sweden,Europe,62.52,12.63,-,-,-,0.02,0.02,0.002 ±0.0004,0.0016,0.002,0.0024,0.0004,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Trindjupet (=Bottenviken),-,-,Sweden,Europe,64.2,22.4,-,-,-,5,5,<542,-,-,542,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Tsenkher,-,Bayan Khongor,Mongolia,Asia,43.6330,98.3662,-,-,-,3.6,3.6,late Tertiary to Quaternary,0,-,23,-,stratigraphic,0,-,N,S,-,-,,,,,,,,,,,
2,-,Tsöörikmäe,-,-,Estonia,Europe,58.07,27.45,-,-,-,0.04,0.04,0.0095,0.00855,0.0095,0.01045,-,10%,-,-,-,-,-,-,,,,,,,,,,,
2,-,Tüttensee,Chiemgau,Bavaria,Germany,Europe,47.85,12.57,-,-,-,0.5,0.5,480 BC - 202 AD,0.00180,-,0.00290,-,"archeologic, stratigraphic, dendrologic, 14C",0,-,Y,-,-,-,,,,,,,,,,,
2,x,TYGU,-,-,Australia,Australia,-,-,-,-,-,-,-1,precam.,542,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,x,UM-HADID,-,-,Saudi Arabia,Asia,21.50,50.67,-,-,-,0.01,0.01,?,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,unnamed,-,-,Sudan,Africa,17.95,37.92,-,-,-,5.8,5.8,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Ust-Kara,-,-,Russia,Asia,69.28,65.35,-,-,-,25,25,70.3 ± 2.2,68.1,70.3,72.5,2.2,-,-,-,-,-,-,-,,,,,,,,,,,
2,-,Vaidasoo,-,-,Estonia,Europe,59.2675,25.0425,-,-,-,0.55,0.55,?,-,-,-,-,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Velingara,-,-,Senegal,Africa,13.0369,-14.1278,-,-,-,48,48,late Eoc - Olig,23,-,40.4,-,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Versailles,-,Kentucky,USA,North America,38.03,-84.70,-,-,-,1.5,1.5,<400.0,-,-,400,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Victoria Island,-,California,USA,North America,37.53,-121.32,-,-,-,5.5,5.5,middle Eocene,37,-,49,-,stratigraphic,1490-1600,0,Y,Ss,-,-,,,,,,,,,,,
2,-,Viewfield,-,Saskatchewan,Canada,North America,49.59126,-103.05489,-,-,-,3.2,3.2,Triassic-Middle Jurassic,161,-,245,-,stratigraphic,buried,0,Y,Ssce,-,-,,,,,,,,,,,
2,-,Weaubleau,-,Missouri,USA,North America,37.8,-93.6,-,-,-,7,7,345 ±10,335,345,355,10,-,0,-,Y,-,-,-,,,,,,,,,,,
2,-,Wipfelsfurt,-,-,Germany,Europe,48.90,11.84,-,-,-,0.65,0.65,?,-,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,
2,-,Woodbury (=Cove Dome),-,Georgia,USA,North America,32.917,-84.533,-,-,-,7,7,post Late Paleozoic Hollis Quartzite,-,-,416,-,-,0,-,-,-,-,-,,,,,,,,,,,
